date,machine_name,region_id,sex,uid,status,baseline_days
2017-01-23,ETHOSCOPE_040,3,F,443,OK,4
2017-01-23,ETHOSCOPE_040,4,F,444,OK,4
2017-01-23,ETHOSCOPE_040,5,F,445,OK,4
2017-01-23,ETHOSCOPE_040,6,F,446,OK,4
2017-01-23,ETHOSCOPE_040,7,F,447,OK,4
2017-01-23,ETHOSCOPE_040,8,F,448,OK,4
2017-01-23,ETHOSCOPE_040,9,F,449,OK,4
2017-01-23,ETHOSCOPE_040,10,F,450,OK,4
2017-01-23,ETHOSCOPE_040,11,F,451,OK,4
2017-01-23,ETHOSCOPE_040,12,F,452,OK,4
2017-01-23,ETHOSCOPE_040,13,F,453,OK,4
2017-01-23,ETHOSCOPE_040,14,F,454,OK,4
2017-01-23,ETHOSCOPE_040,15,F,455,OK,4
2017-01-23,ETHOSCOPE_040,16,F,456,OK,4
2017-01-23,ETHOSCOPE_040,17,F,457,OK,4
2017-01-23,ETHOSCOPE_040,18,F,458,dead,4
2017-01-23,ETHOSCOPE_040,19,F,459,OK,4
2017-01-23,ETHOSCOPE_040,20,F,460,OK,4
2017-01-23,ETHOSCOPE_062,1,F,461,OK,4
2017-01-23,ETHOSCOPE_062,2,F,462,OK,4
2017-01-23,ETHOSCOPE_062,3,F,463,OK,4
2017-01-23,ETHOSCOPE_062,4,F,464,OK,4
2017-01-23,ETHOSCOPE_062,5,F,465,OK,4
2017-01-23,ETHOSCOPE_062,6,F,466,OK,4
2017-01-23,ETHOSCOPE_062,7,F,467,OK,4
2017-01-23,ETHOSCOPE_062,8,F,468,OK,4
2017-01-23,ETHOSCOPE_062,9,F,469,OK,4
2017-01-23,ETHOSCOPE_062,10,F,470,OK,4
2017-01-23,ETHOSCOPE_062,11,F,471,OK,4
2017-01-23,ETHOSCOPE_062,12,F,472,OK,4
2017-01-23,ETHOSCOPE_062,13,F,473,OK,4
2017-01-23,ETHOSCOPE_062,14,F,474,OK,4
2017-01-23,ETHOSCOPE_062,15,F,475,OK,4
2017-01-23,ETHOSCOPE_062,16,F,476,OK,4
2017-01-23,ETHOSCOPE_062,17,F,477,OK,4
2017-01-23,ETHOSCOPE_062,18,F,478,OK,4
2017-01-23,ETHOSCOPE_062,19,F,479,OK,4
2017-01-23,ETHOSCOPE_062,20,F,480,OK,4
2017-01-23,ETHOSCOPE_002,1,F,241,male,4
2017-01-23,ETHOSCOPE_002,2,F,242,male,4
2017-01-23,ETHOSCOPE_002,3,F,243,male,4
2017-01-23,ETHOSCOPE_002,4,F,244,male,4
2017-01-23,ETHOSCOPE_002,5,F,245,male,4
2017-01-23,ETHOSCOPE_002,6,F,246,male,4
2017-01-23,ETHOSCOPE_002,7,F,247,male,4
2017-01-23,ETHOSCOPE_002,8,F,248,male,4
2017-01-23,ETHOSCOPE_002,9,F,249,male,4
2017-01-23,ETHOSCOPE_002,10,F,250,dead,4
2017-01-23,ETHOSCOPE_002,11,F,251,OK,4
2017-01-23,ETHOSCOPE_002,12,F,252,OK,4
2017-01-23,ETHOSCOPE_002,13,F,253,OK,4
2017-01-23,ETHOSCOPE_002,14,F,254,OK,4
2017-01-23,ETHOSCOPE_002,15,F,255,OK,4
2017-01-23,ETHOSCOPE_002,16,F,256,OK,4
2017-01-23,ETHOSCOPE_002,17,F,257,OK,4
2017-01-23,ETHOSCOPE_002,18,F,258,OK,4
2017-01-23,ETHOSCOPE_002,19,F,259,OK,4
2017-01-23,ETHOSCOPE_002,20,F,260,OK,4
