date,machine_name,region_id,sex,sdi,baseline_days,status
2016-07-11,ETHOSCOPE_012,20,F,10,4,OK
2016-07-11,ETHOSCOPE_013,1,M,10,4,OK
2016-07-11,ETHOSCOPE_013,2,M,0,4,OK
2016-07-11,ETHOSCOPE_013,3,M,10,4,OK
2016-07-11,ETHOSCOPE_013,4,M,0,4,OK
2016-07-11,ETHOSCOPE_013,5,M,10,4,OK
2016-07-11,ETHOSCOPE_013,6,M,0,4,OK
2016-07-11,ETHOSCOPE_013,7,M,10,4,OK
2016-07-11,ETHOSCOPE_013,8,M,0,4,OK
2016-07-11,ETHOSCOPE_013,9,M,10,4,extruded
2016-07-11,ETHOSCOPE_013,10,M,0,4,OK
2016-07-11,ETHOSCOPE_013,11,M,0,4,OK
2016-07-11,ETHOSCOPE_013,12,M,10,4,OK
2016-07-11,ETHOSCOPE_013,13,M,0,4,OK
2016-07-11,ETHOSCOPE_013,14,M,10,4,OK
2016-07-11,ETHOSCOPE_013,15,M,0,4,OK
2016-07-11,ETHOSCOPE_013,16,M,10,4,OK
2016-07-11,ETHOSCOPE_013,17,M,0,4,OK
2016-07-11,ETHOSCOPE_013,18,M,10,4,dead_servo
2016-07-11,ETHOSCOPE_013,19,M,0,4,OK
2016-07-11,ETHOSCOPE_013,20,M,10,4,OK
2016-07-11,ETHOSCOPE_014,1,M,10,4,OK
2016-07-11,ETHOSCOPE_014,2,M,0,4,OK
2016-07-11,ETHOSCOPE_014,3,M,10,4,OK
2016-07-11,ETHOSCOPE_014,4,M,0,4,OK
2016-07-11,ETHOSCOPE_014,5,M,10,4,OK
2016-07-11,ETHOSCOPE_014,6,M,0,4,extruded
2016-07-11,ETHOSCOPE_014,7,M,10,4,OK
2016-07-11,ETHOSCOPE_014,8,M,0,4,OK
2016-07-11,ETHOSCOPE_014,9,M,10,4,OK
2016-07-11,ETHOSCOPE_014,10,M,0,4,OK
2016-07-11,ETHOSCOPE_014,11,M,0,4,OK
2016-07-11,ETHOSCOPE_014,12,M,10,4,OK
2016-07-11,ETHOSCOPE_014,13,M,0,4,OK
2016-07-11,ETHOSCOPE_014,14,M,10,4,OK
2016-07-11,ETHOSCOPE_014,15,M,0,4,OK
2016-07-11,ETHOSCOPE_014,16,M,10,4,extruded
2016-07-11,ETHOSCOPE_014,17,M,0,4,OK
2016-07-11,ETHOSCOPE_014,18,M,10,4,OK
2016-07-11,ETHOSCOPE_014,19,M,0,4,OK
2016-07-11,ETHOSCOPE_014,20,M,10,4,OK
2016-07-22,ETHOSCOPE_014,1,F,10,4,OK
2016-07-22,ETHOSCOPE_014,2,F,0,4,OK
2016-07-22,ETHOSCOPE_014,3,F,10,4,OK
2016-07-22,ETHOSCOPE_014,4,F,0,4,OK
2016-07-22,ETHOSCOPE_014,5,F,10,4,OK
2016-07-22,ETHOSCOPE_014,6,F,0,4,OK
2016-07-22,ETHOSCOPE_014,7,F,10,4,OK
2016-07-22,ETHOSCOPE_014,8,F,0,4,OK
2016-07-22,ETHOSCOPE_014,9,F,10,4,OK
2016-07-22,ETHOSCOPE_014,10,F,0,4,OK
2016-07-22,ETHOSCOPE_014,11,F,0,4,OK
2016-07-22,ETHOSCOPE_014,12,F,10,4,OK
2016-07-22,ETHOSCOPE_014,13,F,0,4,OK
2016-07-22,ETHOSCOPE_014,14,F,10,4,OK
2016-07-22,ETHOSCOPE_014,15,F,0,4,OK
2016-07-22,ETHOSCOPE_014,16,F,10,4,OK
2016-07-22,ETHOSCOPE_014,17,F,0,4,OK
2016-07-22,ETHOSCOPE_014,18,F,10,4,OK
2016-07-22,ETHOSCOPE_014,19,F,0,4,OK
2016-07-22,ETHOSCOPE_014,20,F,10,4,OK
2016-07-22,ETHOSCOPE_020,1,M,10,4,OK
2016-07-22,ETHOSCOPE_020,2,M,0,4,OK
2016-07-22,ETHOSCOPE_020,3,M,10,4,OK
2016-07-22,ETHOSCOPE_020,4,M,0,4,OK
2016-07-22,ETHOSCOPE_020,5,M,10,4,OK
2016-07-22,ETHOSCOPE_020,6,M,0,4,OK
2016-07-22,ETHOSCOPE_020,7,M,10,4,OK
2016-07-22,ETHOSCOPE_020,8,M,0,4,OK
2016-07-22,ETHOSCOPE_020,9,M,10,4,OK
2016-07-22,ETHOSCOPE_020,10,M,0,4,OK
2016-07-22,ETHOSCOPE_020,11,M,0,4,OK
2016-07-22,ETHOSCOPE_020,12,M,10,4,OK
2016-07-22,ETHOSCOPE_020,13,M,0,4,OK
2016-07-22,ETHOSCOPE_020,14,M,10,4,OK
2016-07-22,ETHOSCOPE_020,15,M,0,4,OK
2016-07-22,ETHOSCOPE_020,16,M,10,4,OK
2016-07-22,ETHOSCOPE_020,17,M,0,4,OK
2016-07-22,ETHOSCOPE_020,18,M,10,4,OK
2016-07-22,ETHOSCOPE_020,19,M,0,4,OK
2016-07-22,ETHOSCOPE_020,20,M,10,4,OK
2016-07-22,ETHOSCOPE_040,1,F,10,4,OK
2016-07-22,ETHOSCOPE_040,2,F,0,4,OK
2016-07-22,ETHOSCOPE_040,3,F,10,4,OK
2016-07-22,ETHOSCOPE_040,4,F,0,4,OK
2016-07-22,ETHOSCOPE_040,5,F,10,4,OK
2016-07-22,ETHOSCOPE_040,6,F,0,4,OK
2016-07-22,ETHOSCOPE_040,7,F,10,4,OK
2016-07-22,ETHOSCOPE_040,8,F,0,4,OK
2016-07-22,ETHOSCOPE_040,9,F,10,4,OK
2016-07-22,ETHOSCOPE_040,10,F,0,4,OK
2016-07-22,ETHOSCOPE_040,11,F,0,4,OK
2016-07-22,ETHOSCOPE_040,12,F,10,4,OK
2016-07-22,ETHOSCOPE_040,13,F,0,4,OK
2016-07-22,ETHOSCOPE_040,14,F,10,4,OK
2016-07-22,ETHOSCOPE_040,15,F,0,4,OK
2016-07-22,ETHOSCOPE_040,16,F,10,4,OK
2016-07-22,ETHOSCOPE_040,17,F,0,4,OK
2016-07-22,ETHOSCOPE_040,18,F,10,4,OK
2016-07-22,ETHOSCOPE_040,19,F,0,4,OK
