date,machine_name,region_id,sex,sdi,baseline_days,status,video_region_id,video
2016-04-04,ETHOSCOPE_002,8,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,9,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,10,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,11,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,12,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,13,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,14,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,15,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,16,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,17,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,18,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,19,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_002,20,F,0,4,NO_IR,None,None
2016-04-04,ETHOSCOPE_003,1,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,2,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,3,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,4,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,5,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,6,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,7,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,8,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,9,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,10,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,11,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,12,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,13,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,14,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,15,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,16,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,17,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,18,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,19,F,0,4,OK,None,None
2016-04-04,ETHOSCOPE_003,20,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,1,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,2,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,3,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,4,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,5,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,6,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,7,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,8,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,10,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,11,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,12,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,13,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,14,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,15,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,16,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,17,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,18,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_033,19,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_033,20,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_009,1,M,10,4,dead,None,None
2016-04-11,ETHOSCOPE_009,2,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,3,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_009,4,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,5,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_009,6,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,7,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_009,8,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,9,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_009,10,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,11,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,12,M,10,4,tube_extruded,None,None
2016-04-11,ETHOSCOPE_009,13,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,14,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_009,15,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,16,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_009,17,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,18,M,10,4,broken_oring,None,None
2016-04-11,ETHOSCOPE_009,19,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_009,20,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,1,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,2,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,3,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,4,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,5,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,6,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,7,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,8,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,9,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,10,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,11,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,12,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,13,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,14,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,15,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,16,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,17,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_035,18,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_035,19,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,1,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,2,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,3,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,4,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,5,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,6,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,7,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,8,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,9,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,10,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,11,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,12,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,13,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,14,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,15,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,16,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,17,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,18,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_007,19,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_007,20,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,1,M,10,4,tube_extruded,None,None
2016-04-11,ETHOSCOPE_019,2,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,3,M,10,4,tube_extruded,None,None
2016-04-11,ETHOSCOPE_019,4,M,0,4,dead,None,None
2016-04-11,ETHOSCOPE_019,5,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,6,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,7,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,8,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,9,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,10,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,11,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,12,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,13,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,14,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,15,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,16,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,17,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,18,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_019,19,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_019,20,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,1,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,2,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,3,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,4,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,5,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,6,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,7,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,8,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,9,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,10,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,11,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,12,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,13,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,14,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,15,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,16,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,17,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,18,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_036,19,M,0,4,OK,None,None
2016-04-11,ETHOSCOPE_036,20,M,10,4,OK,None,None
2016-04-11,ETHOSCOPE_004,1,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,2,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,3,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,4,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,5,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,6,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,7,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,8,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,9,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,10,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,11,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,12,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,13,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,14,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,15,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,16,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,17,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,18,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,19,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_004,20,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,1,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,2,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,3,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,4,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,5,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,6,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,7,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,8,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,9,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,10,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,11,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,12,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,13,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,14,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,15,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,16,F,0,4,OK,None,None
2016-04-11,ETHOSCOPE_005,17,F,0,4,OK,None,None
